Time,State,Servo Percentage,Apogee Prediction,Altitude Filtered,Acceleration Filtered,Velocity Filtered,Altitude,Acceleration X,Acceleration Y,Acceleration Z,Magnetic X,Magnetic Y,Magnetic Z,Gyro X,Gyro Y,Gyro Z,Temperature
1731.0446557998657,State.GROUND,0.0,5653,5.272430557747606,-0.2154640315115959,-7.397785144773021,4.5595126819776715,-1.5419948,3.6417324000000004,-0.22742679999999638,-32.125,-488.0625,-459.6875,0.001090830782496456,0.0,-0.001090830782496456,66.23910870333202
1731.0699343681335,State.GROUND,0.0,5653,5.14682912424021,-0.222850504317461,-7.344775631594778,5.182711547824934,-1.476378,3.7073492000000003,-0.22742679999999638,-32.125,-488.0625,-459.6875,0.003272492347489368,-0.002181661564992912,0.0,66.24692194759845
1731.0950603485107,State.GROUND,0.0,5653,6.465739842020595,-0.1849539254462205,-5.896358796002181,7.358651694801611,-1.476378,3.7073492000000003,-0.16180999999999912,-32.5,-488.4375,-460.5,0.004363323129985824,0.0,-0.002181661564992912,66.23129545319826
1731.120148897171,State.GROUND,0.0,5653,6.381222237155477,-0.21119650688914407,-5.840952605745761,6.418481578104845,-1.476378,3.7073492000000003,-0.22742679999999638,-32.5,-488.4375,-460.5,0.003272492347489368,0.001090830782496456,-0.001090830782496456,66.23129545319826
1731.1451082229614,State.GROUND,0.0,5653,6.164390340590999,-0.30234216391531477,-5.915244677211426,6.122867382480663,-1.5419948,3.7401576000000003,-0.35866040000000154,-33.9375,-489.9375,-460.1875,0.002181661564992912,0.001090830782496456,-0.002181661564992912,66.24692194759845
1731.1704354286194,State.GROUND,0.0,5653,6.473313239676052,-0.21543529700304095,-5.473529796012444,6.74610014782421,-1.476378,3.7073492000000003,-0.16180999999999912,-33.9375,-489.9375,-460.1875,0.0,0.002181661564992912,0.0,66.24692194759845
1731.1957063674927,State.GROUND,0.0,5653,6.7783119209386,-0.2633484663395756,-5.047050761556062,7.041701121637609,-1.5419948,3.7073492000000003,-0.2930435999999972,-33.5625,-488.8125,-460.375,0.002181661564992912,-0.001090830782496456,0.0,66.24692194759845
1731.2210223674774,State.GROUND,0.0,5653,6.902396933571375,-0.16001133930329836,-4.804852184583919,7.052374502330586,-1.4435696,3.7401576000000003,-0.09619320000000187,-33.5625,-488.8125,-460.375,0.001090830782496456,-0.001090830782496456,-0.002181661564992912,66.24692194759845
1731.2465043067932,State.GROUND,0.0,5653,6.5535448722102485,-0.24225611786526058,-5.031801791531926,6.418481578104845,-1.476378,3.7401576000000003,-0.2930435999999972,-33.1875,-487.0,-459.6875,0.001090830782496456,0.001090830782496456,0.0,66.23910870333202
1731.2717337608337,State.GROUND,0.0,5653,6.42158091819372,-0.19253828311795954,-5.042201091288683,6.418481578104845,-1.6076116,3.8057744,-0.16180999999999912,-33.1875,-487.0,-459.6875,-0.001090830782496456,0.0,0.001090830782496456,66.25473518599756
1731.2969272136688,State.GROUND,0.0,5653,4.615915382822963,-0.17374044754806933,-6.678153169670382,3.619429641939882,-1.476378,3.7401576000000003,-0.16180999999999912,-34.6875,-487.375,-459.4375,0.001090830782496456,-0.001090830782496456,0.001090830782496456,66.23910870333202
1731.3221802711487,State.GROUND,0.0,5653,5.292558272061831,-0.12571477380764315,-5.8531592086323725,5.795273094219376,-1.5419948,3.6417324000000004,-0.09619320000000187,-34.6875,-487.375,-459.4375,0.0,0.0,0.0,66.24692194759845
1731.3476707935333,State.GROUND,0.0,5653,5.16862245275529,-0.18857351994317628,-5.83420102620676,5.182711547824934,-1.476378,3.6417324000000004,-0.22742679999999638,-33.1875,-487.375,-459.6875,0.0,0.001090830782496456,0.001090830782496456,66.23910870333202
1731.3730249404907,State.GROUND,0.0,5653,6.096401654993659,-0.17190675613976059,-4.784180216828734,6.735420370582988,-1.476378,3.7401576000000003,-0.16180999999999912,-33.1875,-487.375,-459.6875,-0.002181661564992912,0.001090830782496456,0.0,66.26254841852933
1731.398457288742,State.GROUND,0.0,5653,6.060794847875923,-0.20620985318997928,-4.704126020798113,6.112200106463553,-1.476378,3.6417324000000004,-0.22742679999999638,-33.1875,-488.8125,-460.125,-0.001090830782496456,0.002181661564992912,0.002181661564992912,66.23129545319826
1731.4240019321442,State.GROUND,0.0,5653,5.267756027731606,-0.17884592549480263,-5.360795198471522,4.865792756730822,-1.3123360000000002,3.6417324000000004,-0.16180999999999912,-33.1875,-488.8125,-460.125,0.0,0.001090830782496456,0.001090830782496456,66.26254841852933
1731.4487631320953,State.GROUND,0.0,5653,5.163764306580455,-0.1683134743549635,-5.3341832891687035,5.182711547824934,-1.5419948,3.6417324000000004,-0.16180999999999912,-34.3125,-489.5625,-459.6875,-0.001090830782496456,0.002181661564992912,-0.002181661564992912,66.24692194759845
1731.474113225937,State.GROUND,0.0,5653,6.682611731394282,-0.16410021255726182,-3.7167347909697703,7.664931725269563,-1.476378,3.5761156,-0.16180999999999912,-34.3125,-489.5625,-459.6875,-0.002181661564992912,0.002181661564992912,0.0,66.24692194759845
1731.4997069835663,State.GROUND,0.0,5653,6.8726753084998835,-0.20320479972456276,-3.442433189099791,7.041701121637609,-1.4435696,3.5761156,-0.22742679999999638,-33.9375,-488.8125,-459.6875,-0.001090830782496456,-0.002181661564992912,-0.001090830782496456,66.22348219719716
1731.5252056121826,State.GROUND,0.0,5653,6.754213800208248,-0.21817848050532654,-3.4785877380667993,6.735420370582988,-1.4435696,3.5761156,-0.22742679999999638,-33.9375,-488.8125,-459.6875,0.0,-0.001090830782496456,0.002181661564992912,66.23910870333202
