Time,State,Servo Percentage,Apogee Prediction,Altitude Filtered,Acceleration Filtered,Velocity Filtered,Altitude,Acceleration X,Acceleration Y,Acceleration Z,Euler Angle 0,Euler Angle 1,Euler Angle 2,Temperature
1303.7673325538635,State.GROUND,0,5800,-0.5765627666000579,-253.28565989210165,-37.29731788789554,0.046393279721488774,-3.6745408000000004,0.7874015999999999,0.6392144000000002,339.0625,-6.4375,-1.75,72.30042194728739
1303.7891960144043,State.GROUND,0,5800,-0.91636223564638,-96.33113658306388,-40.04182325222284,-0.6318404800325684,-3.6089240000000005,0.7874015999999999,0.6720228000000006,339.0625,-6.4375,-1.75,72.30042194728739
1303.8106422424316,State.GROUND,0,5800,-1.6227809839762142,-36.46098297801001,-41.119958107270925,-1.5437894773402148,-3.6089240000000005,0.7874015999999999,0.5407892000000025,339.0625,-6.4375,-1.75,72.30823063850403
1303.8313629627228,State.GROUND,0,5800,-1.4911407534468621,-13.633107878984912,-40.61801277761184,-0.9124148377638596,-3.5761156,0.8530184000000001,0.47517239999999816,339.0625,-6.4375,-1.75,72.29261325020343
1303.8516380786896,State.GROUND,0,5800,-1.4502799256567929,-4.893362272080401,-39.8988652778573,-0.9124148377638596,-3.6417324000000004,0.7874015999999999,0.5079808000000021,339.0625,-6.4375,-1.75,72.29261325020343
1303.87282204628,State.GROUND,0,5800,-0.6365107608054723,-1.5347505197258124,-38.40275960003134,0.32693149248390474,-3.6745408000000004,0.82021,0.5407892000000025,339.0625,-6.4375,-1.75,72.30823063850403
1303.8927602767944,State.GROUND,0,5800,0.05677318702284584,-0.25188701540645164,-37.01104567048674,0.9349030463940998,-3.6089240000000005,0.9842519999999999,0.5407892000000025,339.0625,-6.4375,-1.75,72.30823063850403
1303.9128766059875,State.GROUND,0,5800,-1.0118194741983755,0.2582658967942414,-37.33214587112088,-1.2163915100436797,-3.6745408000000004,0.9842519999999999,0.5735976000000029,339.0625,-6.4375,-1.75,72.29261325020343
1303.9324946403503,State.GROUND,0,5800,-1.0341971886322474,0.45320212319251685,-36.65790185937545,-0.6084353597972318,-3.6089240000000005,0.9186352000000001,0.5735976000000029,339.0625,-6.4375,-1.75,72.30042194728739
1303.9521145820618,State.GROUND,0,5800,-1.42197787570672,0.5073586613261627,-36.32335356364029,-1.2163915100436797,-3.6745408000000004,0.8858268,0.5407892000000025,339.0625,-6.4375,-1.75,72.31603932385333
1303.9720392227173,State.GROUND,0,5800,-2.164972932763122,0.568572046995359,-36.32863814444871,-2.1751527575695158,-3.6417324000000004,0.9186352000000001,0.6064060000000033,339.0625,-6.4375,-1.75,72.29261325020343
1303.9920320510864,State.GROUND,0,5800,-1.4513191232779035,0.5717847441297317,-34.92875541571398,-0.5850047952945819,-3.6089240000000005,0.9186352000000001,0.5735976000000029,339.0625,-6.4375,-1.75,72.30042194728739
1304.0122199058533,State.GROUND,0,5800,-1.959494092951565,0.5729187493808238,-34.73926121028688,-1.8477668649938337,-3.6089240000000005,0.9186352000000001,0.5735976000000029,339.0625,-6.4375,-1.75,72.31603932385333
1304.0321049690247,State.GROUND,0,5800,-0.585024748502081,0.5532126776928881,-32.7488755801783,0.6543465684404638,-3.5761156,0.9186352000000001,0.5407892000000025,339.0625,-6.4375,-1.75,72.31603932385333
1304.0520844459534,State.GROUND,0,5800,-1.2253606875857406,0.5658123481865294,-32.72329760420178,-1.2163915100436797,-3.5761156,0.9842519999999999,0.5735976000000029,339.0625,-6.4375,-1.75,72.30823063850403
1304.0720992088318,State.GROUND,0,5800,-2.049660460732275,0.5706114400278033,-32.875328110272974,-2.1517414469606453,-3.6089240000000005,1.0498688,0.5735976000000029,339.0625,-6.4375,-1.75,72.30823063850403
1304.0920836925507,State.GROUND,0,5800,-1.777760480742094,0.5522499128868205,-31.95733168004206,-1.2163915100436797,1071.4567272,1.0170604,0.5407892000000025,339.0625,-6.4375,-1.75,72.30823063850403
1304.112343788147,State.GROUND,0,5800,-0.6705712492464546,0.5858478703172076,-30.2706812387147,0.37383099496866645,-3.5433072,0.9842519999999999,0.6064060000000033,339.0625,-6.4375,-1.75,72.30823063850403
1304.1322619915009,State.GROUND,0,5800,-1.0473272164766223,0.5985698628572022,-30.043111445027403,-0.9124148377638596,-3.6745408000000004,0.9186352000000001,0.6064060000000033,339.0625,-6.4375,-1.75,72.30823063850403
1304.152155160904,State.GROUND,0,5800,0.01120735712143417,0.5832573264098391,-28.436546992931536,1.005252507344984,-3.6089240000000005,0.9842519999999999,0.5735976000000029,339.0625,-6.4375,-1.75,72.31603932385333
1304.1721720695496,State.GROUND,0,5800,-0.38499335143285096,0.5773000086261741,-28.25769372753077,-0.28102883838856035,-3.6089240000000005,1.0170604,0.5735976000000029,339.0625,-6.4375,-1.75,72.30823063850403
1304.192211151123,State.GROUND,0,5800,-0.13865048706024496,0.5953489839191155,-27.45441541697699,0.3503685212537115,-3.5761156,0.9842519999999999,0.6064060000000033,339.0625,-6.4375,-1.75,72.31603932385333
1304.2123908996582,State.GROUND,0,5800,0.16722154777248588,0.5616914998678207,-26.62184008993959,0.6778027154886997,-3.5761156,0.9514436,0.5407892000000025,339.0625,-6.4375,-1.75,72.3238480033353
1304.2323098182678,State.GROUND,0,5800,-0.706933104840208,0.5487481493866689,-26.94105759242638,-0.9124148377638596,-3.6417324000000004,1.0498688,0.5407892000000025,339.0625,-6.4375,-1.75,72.30823063850403
